,post_caption
1303,"I was cutting cantaloupe the other day and wanted to save half for the next day and realized how many times we reach for plastic wrap! Guess what...there is an alternative to plastic wrap! 

Check out these @anonymised_user reusable food wraps made out of beeswax 

#sustainability #foodwrap #plasticfree #lowwaste #zerowaste"
1311,"a little ball of glow and nourishment for your skin. Sun dried orange peels  that are turned into fine powder for a flawless and glowing skin! | @anonymised_user

#zerowaste #skincare #india #nourish #zerowasteliving #sustainableliving #sustainability #foodforskin #biodegradable #recycle #zerowastepersonalcare #personalcare"
2470,"Wondering what are the barriers to sustainable waste management in Hong Kong? Are there good practices to reduce the amount of waste generated by the Tourism and Hospitality industry?

Join us next Wednesday, 14th July at 13:00 HKT on Zoom! @anonymised_user , with the support of Eat Without Waste, are presenting the ""Waste Deep"" research findings along with a panel session.

Panelist:
Research Partner: Ashley Bang, the co-lead for Eat Without Waste @anonymised_user
Research Participant: Erwin Sikkenga, the Director of Food and Beverage at 
@anonymised_user Hotel & Towers

In the panel discussion, Ashley and Erwin will share their experience with current waste generation, disposal methods and waste management. 

Register NOW via link in our bio and share with your network!

#GREENHospitality #sustainability #wastedeep #SaveTheDate #GreenRecovery #hongkong #EatWithoutWaste #hku #hkufbe #sheratonhk #sheratonhkevent #admcapitalfoundation #foodwaste #SingleUseFoodPackaging"
2472,"Urgent action is needed to tackle Hong Kong waste problem. Although the Tourism and Hospitality industry significantly impacts the amount of waste generated in Hong Kong, there are no recent statistics or research conducted around the industry's contribution to this problem.

In response to this research gap, GREEN Hospitality, in collaboration with Eat Without Waste, kick-started ""Waste Deep"", an exploratory study about food and single-use food packaging waste in the hospitality industry in early 2021. This study aims to bridge knowledge gaps, build awareness, mobilize industry stakeholders, and encourage future research. 

The @anonymised_user (HKU Business School) at @anonymised_user has contributed to this report through the involvement of student interns, researchers and instructors of its Social Venture Management (SVM) Course.

If you want to learn more alarming facts about food and packaging waste in Hong Kong, join us on 14th July 1pm on Zoom, for an Industry Brief followed by a panel discussion with Erwin Sikkenga from @anonymised_user Hotel & Towers and Ashley Bang from Eat Without Waste @anonymised_user moderated by Camille Fabre from @anonymised_user where we will discuss the research findings from two aspects - food waste and single-use food packaging waste. 

Register via the link in BIO and share with your network!

#GREENHospitality #sustainability #wastedeep #SaveTheDate #GreenRecovery #hongkong #EatWithoutWaste #hku #hkufbe #sheratonhk #sheratonhkevent #admcapitalfoundation #foodwaste #SingleUseFoodPackaging"
2476,"The pandemic is an unprecedented situation that has affected all aspects of the hospitality and tourism industry, making it one of the hardest hit. 

Unlike some, Hilton and its brands in South East Asia saw the ongoing pandemic as an opportunity to advance the sustainability agenda through collective efforts in plastic reduction, food waste management, and conservation initiatives.

Fully acknowledging that the region it operates in is largely dependent on tourism, Hilton's Vice President of Operations in South East Asia, Paul Hutton, perceives it as the company's responsibility to create positive change.

You can learn more about Hilton's sustainability efforts by visiting the website via Link in our BIO. 

What about your business? Have you advanced any sustainable practices during the pandemic? Let us know in the comments below ;)

@anonymised_user #hiltonhongkong #hiltonsingapore #sustainablehotels #sustainability #foodwaste #wastemanagement #travelwithpurpose #hiltoneffectfoundation #sustainabletourism #hiltonsoutheastasia"
2494,"In Waste management, awareness is first step. 

Join us this Thursday on Zoom as GREEN Hospitality, with the support of Eat Without Waste and ORCA, are kicking off baseline study of Food and Packaging waste in the hospitality industry. 

!?[?]We will explain why this study is so crucial for Hong Kong's hospitality industry, how it will be conducted, who are our participants, and what are the expected outcome of the study. 

Register via link in our BIO 

Are you interested to join? Feel free to DM us or send an email to hello@anonymised_user stating ""waste deep"" in the subject line.

#WasteDeep #wasteresearch #solutionproviders #GREENhospitality #eatwithoutwaste #stopwaste #foodwaste #foodwastestudy #hospitalityindustry #zerowaste 

@anonymised_user"
2497,"Empowering youth is one of our core values at GREEN Hospitality. We do it through our internship program but also by partnering for projects and initiatives teaching the young about sustainability.

It was a pleasure to be part of @anonymised_user by @anonymised_user and bring the topic of #CircularEconomy to the youth from across the globe.

#YouthEmpowerment #SustainableDevelopment #SDGs #Sustainability 

#repost @anonymised_user

 Thanks to everyone who attended, participated, and contributed to GreenFest 2020! We are overwhelmed by the positive response to this year's virtual event!
.
[?][?] Together with nearly 400 attendees from more than 20 countries across 5 continents, 36 thought leaders joined in talks, panels, and interactive workshops to inspire each other on how we can create a #circulareconomy for a more sustainable future, and we achieved a reach of 1.9M for this event!
.
 Big thanks to event host Hysan Development, and event organiser @anonymised_user our media partners, our supporting partners, and everyone else who took part in facilitating workshops and engaging us on panels.
.
 Check this video out for the highlights and we're looking forward to seeing you all again in 2021! 
.
.
.
.
.
@anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user 

#GreenFestHK #CloseTheLoop #RooftopRepublic #LeeGardensHK #CircularEconomy #Hysancommunitycare #carbonreduction #sustainability #climatechange #FutureofFood #zerowaste"
2498,"For the G.R.E.E.N. Hospitality Hackathon 2020, 25 participants formed 6 teams. Accompanied by the wisdom of 10 mentors they worked on solutions that can tackle #wastecrisis in the Hong Kong's hospitality industry. The teams pitched their ideas to 65 attendees during the Innovation Night and over 300 watching the livestream. All projects were extremely interesting and kudos to all the teams who came up with these pilots in less than 2 weeks time! 

Our 5 judges picked the 3 winning teams which each tackled a different challenge: GroundsDown (Food Waste), Terre (Waste Reduction & Circularity), and GrinBean (Waste Segregation).

Once again - thanks for the support from our venue sponsors, catering sponsors, and gift & goodies sponsors, our Hackathon & Innovation Night was held successfully.

--

This event was funded by the Sustainable Development Fund of Hong Kong, hosted by @anonymised_user in partnership with @anonymised_user and @anonymised_user and supported by the @anonymised_user University of Hong Kong (HKU) Business School.

#hospitalityleadership #sustainabilityleadership #zerowaste #plastic #foodwaste #circularity"
2499,"Let us recap our recent hackathon and thank one more time to our sponsors and partners for their generous support :)

VENUE sponsors:
@anonymised_user
@anonymised_user

CATERING sponsors:
@anonymised_user
@anonymised_user
@anonymised_user
@anonymised_user

GIFTS & GOODIES sponsors:
@anonymised_user
@anonymised_user
@anonymised_user
@anonymised_user
@anonymised_user
@anonymised_user
@anonymised_user
--

This event was funded by the Sustainable Development Fund of Hong Kong, hosted by @anonymised_user in partnership with @anonymised_user and @anonymised_user and supported by the University of Hong Kong (HKU) Business School.

#hospitalityleadership #sustainabilityleadership #zerowaste #plastic #foodwaste #circularity #hackathon #innovation #GHH20 #circulareconomy #hospitality #sustainability"
2500,"Meet the team that won third place at G.R.E.E.N. Hospitality Hackathon 2020 and was given the cash prize of HKD1,000!

Team GrinBean, consisting of the four members, Tom Leung, Ivy Lee, Archie Loong, James Lam proposed a solution that would optimize the recycling management system and alleviate the issue of recycling and recovery of recyclables.
 
Their idea is to develop a recycling bin that will automatically sort recyclables, with sensors to record the waste and a management portal to record this data. 

What do you think about this solution?
--

This event is funded by the Sustainable Development Fund of Hong Kong, hosted by Soap Cycling in partnership with @anonymised_user for Shared Impactand @anonymised_user and supported by the @anonymised_user of Hong Kong (HKU) Business School.

#hospitalityleadership #sustainabilityleadership #zerowaste #plastic #foodwaste #circularity @anonymised_user @anonymised_user Academy"
